feature,target,pearson_r,n
finbert_pos_mean,vol20d,-0.08881121395419843,11
neg_per_1000,vol20d,0.6850956041042547,11
unc_per_1000,vol20d,-0.4215792524796591,11
company_neg_per_1000,vol5d,0.531031010320409,11
company_sent_ratio_mean,vol5d,0.1838742765686688,11
company_unc_per_1000,vol5d,-0.25548690301832067,11
external_neg_per_1000,vol5d,0.24957072452596196,11
external_unc_per_1000,vol5d,-0.2263487013455197,11
finbert_neg_mean,vol5d,0.30609017408401973,11
finbert_neu_mean,vol5d,0.07026065009442048,11
finbert_pos_mean,vol5d,-0.10871588499103499,11
neg_per_1000,vol5d,0.7631111436861303,11
unc_per_1000,vol5d,-0.294715142706836,11
