target,term,Coef.,Std.Err.,t,P>|t|,CI_low,CI_high
ar20d,z_company_sent_ratio_mean,-0.0581981600541587,0.0025644992481798,-22.69377154057061,5.161632946684508e-114,-0.0632244862189712,-0.0531718338893461
ar20d,z_external_unc_per_1000,-0.0666710864226837,0.0092837017482413,-7.181519638468963,6.894077882523289e-13,-0.0848668074924482,-0.0484753653529192
ar20d,z_unc_per_1000,0.2259805284545124,0.0411489227687009,5.491772645538115,3.979194348999798e-08,0.1453301218252383,0.3066309350837865
ar20d,z_external_neg_per_1000,0.0493986507488796,0.0093534878789689,5.281308041244291,1.2826482437410188e-07,0.0310661513762686,0.0677311501214907
ar20d,z_finbert_neg_mean,-0.0051434791515251,0.0013813065718287,-3.723633302284002,0.0001963760980802,-0.0078507902839179,-0.0024361680191323
ar20d,z_company_unc_per_1000,-0.1279001104578213,0.0369918220633741,-3.4575239424190465,0.0005451637975707,-0.2004027494245489,-0.0553974714910938
ar3d,z_company_sent_ratio_mean,-0.0484666638374369,0.0229954806095727,-2.107660399029057,0.0350603750661321,-0.0935369776393886,-0.0033963500354852
r10d,z_company_sent_ratio_mean,-0.1167643302149852,0.0204687499267835,-5.704516916404256,1.1667350720566897e-08,-0.1568823428800379,-0.0766463175499326
r10d,z_external_neg_per_1000,0.2592405838799422,0.0746555899650541,3.472487244441992,0.0005156595159388,0.1129183163038461,0.4055628514560382
r10d,z_company_neg_per_1000,0.7343011549595645,0.2393237552298593,3.068233465809955,0.0021532831865483,0.2652352140641608,1.203367095854968
r10d,z_neg_per_1000,-0.5384573312735217,0.1768516979003753,-3.044682848206792,0.0023292579341138,-0.8850802897630152,-0.1918343727840282
r10d,z_finbert_neg_mean,-0.0322832807457422,0.0110250056852433,-2.928187219799125,0.0034094467871619,-0.0538918948181684,-0.0106746666733159
r10d,is_10k,0.1412620629910287,0.0615344960661531,2.295656453238259,0.0216955321804835,0.0206566668945469,0.2618674590875104
r5d,z_company_sent_ratio_mean,-0.06170677611318,0.0295964690588225,-2.084937091331359,0.0370750112567543,-0.1197147895380263,-0.0036987626883337
