feature,target,pearson_r,n
finbert_pos_mean,vol20d,0.09491653982332514,13
neg_per_1000,vol20d,0.15344702426956564,13
unc_per_1000,vol20d,-0.25695578923711443,13
company_neg_per_1000,vol5d,0.3187630750173071,14
company_sent_ratio_mean,vol5d,-0.36499510677490243,14
company_unc_per_1000,vol5d,-0.040609305443374925,14
external_neg_per_1000,vol5d,0.10299854651821025,14
external_unc_per_1000,vol5d,0.14440990750124535,14
finbert_neg_mean,vol5d,-0.47328424418879067,14
finbert_neu_mean,vol5d,0.5419956688085863,14
finbert_pos_mean,vol5d,-0.28296783935770087,14
neg_per_1000,vol5d,0.2642705971863142,14
unc_per_1000,vol5d,-0.09693885451316181,14
