feature,target,pearson_r,n
finbert_pos_mean,vol20d,-0.017854713916531498,18
neg_per_1000,vol20d,-0.19239180973713968,18
unc_per_1000,vol20d,-0.11087534418535183,18
company_neg_per_1000,vol5d,-0.14474783512756623,19
company_sent_ratio_mean,vol5d,0.20462380476581085,19
company_unc_per_1000,vol5d,0.23524579392355757,19
external_neg_per_1000,vol5d,-0.02110803092930209,19
external_unc_per_1000,vol5d,-0.25869339452932705,19
finbert_neg_mean,vol5d,-0.23104577829633058,19
finbert_neu_mean,vol5d,-0.06711154765461841,19
finbert_pos_mean,vol5d,0.09496933478254242,19
neg_per_1000,vol5d,-0.15667346326816464,19
unc_per_1000,vol5d,0.2536493831902603,19
