target,term,Coef.,Std.Err.,t,P>|t|,CI_low,CI_high
ar3d,const,0.0102393932552378,0.023509040239107746,0.435551309245044,0.6631623044042333,-0.03583747892451628,0.05631626543499189
ar3d,z_neg_per_1000,-0.07637461220629682,0.1986853611297599,-0.38439979559650167,0.7006821519979199,-0.4657907642759606,0.31304153986336697
ar3d,z_unc_per_1000,0.0482616709641806,0.3689808701974307,0.13079721704368363,0.8959357245612242,-0.674927545607032,0.7714508875353934
ar3d,z_company_neg_per_1000,0.10366792429979438,0.26887006061746055,0.3855688657254021,0.6998159950878565,-0.4233077110315295,0.6306435596311182
ar3d,z_company_unc_per_1000,0.034222184854088344,0.3317043017591301,0.10317075983819791,0.9178274463152382,-0.6159063001108128,0.6843506698189895
ar3d,z_external_neg_per_1000,0.05163254043315124,0.08387238024097436,0.615608383651512,0.5381530167457538,-0.11275430413680737,0.21601938500310985
ar3d,z_external_unc_per_1000,-0.04134961160677675,0.08324661058502951,-0.4967122543030331,0.6193919796304671,-0.20450997018846542,0.12181074697491193
ar3d,z_company_sent_ratio_mean,-0.04846680055059643,0.022995770011598103,-2.1076398192429218,0.03506215650874834,-0.09353768157009493,-0.0033959195310979268
ar3d,z_finbert_neg_mean,1.3426173479085673e-05,0.012386124996459505,0.0010839688347181592,0.9991351181717579,-0.024262932727592848,0.02428978507455102
ar3d,is_10k,-0.009923649576473417,0.06913138928260883,-0.14354766596553672,0.8858576690126727,-0.14541868277160502,0.12557138361865816
ar5d,const,0.007445938537687772,0.03478061413318505,0.21408300926415835,0.8304823252893325,-0.06072281252353971,0.07561468959891525
ar5d,z_neg_per_1000,-0.0057993926266080575,0.29394644822084576,-0.019729418952702905,0.9842592224135241,-0.5819238445229336,0.5703250592697175
ar5d,z_unc_per_1000,0.2949017555219796,0.5458913310937752,0.5402206240042312,0.589044891239213,-0.7750255928944499,1.3648291039384093
ar5d,z_company_neg_per_1000,0.010910600116955327,0.39778169313545925,0.027428612993609706,0.978117876961159,-0.7687271921379084,0.7905483923718191
ar5d,z_company_unc_per_1000,-0.16757215031999806,0.4907422510005335,-0.3414667271431167,0.7327522491403737,-1.129409287973159,0.7942649873331629
ar5d,z_external_neg_per_1000,0.031317830377624284,0.12408558001191278,0.2523889590927296,0.8007404333447015,-0.21188543744648797,0.27452109820173654
ar5d,z_external_unc_per_1000,-0.11152379640680737,0.12315978071435346,-0.9055212323369297,0.3651893167270932,-0.3529125309507909,0.12986493813717614
ar5d,z_company_sent_ratio_mean,-0.03970922743139168,0.03402125290246281,-1.1671888611873291,0.24313410819458903,-0.10638965782914755,0.026971202966364204
ar5d,z_finbert_neg_mean,0.0003153099076120443,0.01832473932264649,0.017206788160002415,0.9862716468232013,-0.03560051919085998,0.03623113900608407
ar5d,is_10k,-0.013241894741586394,0.10227691775904987,-0.12947099924131902,0.8969849710383526,-0.21370096999908922,0.1872171805159164
ar10d,const,0.010099359185404229,0.028383556590264404,0.35581725472939224,0.7219774262599483,-0.045531389484668505,0.06573010785547696
ar10d,z_neg_per_1000,0.06410714213099511,0.23988206808640206,0.2672444115660394,0.7892809837046272,-0.406053071855338,0.5342673561173282
ar10d,z_unc_per_1000,0.439390696957058,0.4454877486896179,0.9863137611516948,0.32397916899892865,-0.4337492460284237,1.3125306399425396
ar10d,z_company_neg_per_1000,-0.07273281011283672,0.3246193167966221,-0.22405570571268468,0.8227139579844835,-0.7089749797202143,0.5635093594945408
ar10d,z_company_unc_per_1000,-0.29932089629167913,0.4004820156185039,-0.7474015926268458,0.45482118432620033,-1.0842512233599542,0.4856094307765959
ar10d,z_external_neg_per_1000,0.003715020672601377,0.10126302165962861,0.03668684394080723,0.9707346985967055,-0.1947568547459701,0.20218689609117285
ar10d,z_external_unc_per_1000,-0.14278936220422453,0.10050750087863036,-1.4206836400862497,0.15540875069309293,-0.3397804441024679,0.054201719694018824
ar10d,z_company_sent_ratio_mean,-0.043311527365680086,0.02776386159631964,-1.559996516169834,0.11876070447172096,-0.09772769616622132,0.011104641434861139
ar10d,z_finbert_neg_mean,-0.009043512804158747,0.014954344209520984,-0.604741517077092,0.545350757695698,-0.03835348886723498,0.020266463258917487
ar10d,is_10k,-0.036266529551079896,0.08346553835925513,-0.43450902329270674,0.6639188437929902,-0.1998559786854663,0.12732291958330652
ar20d,const,-0.0041628151424992835,0.0026217543819548723,-1.5877975340296149,0.11233212928345983,-0.009301359307440901,0.0009757290224423351
ar20d,z_neg_per_1000,-0.02451720801985502,0.022157613023509028,-1.1064913893857828,0.2685138889119473,-0.06794533152930837,0.018910915489598328
ar20d,z_unc_per_1000,0.22598296651978445,0.04114915808806171,5.491800489238859,3.9785669163733567e-08,0.14533209867303842,0.30663383436653047
ar20d,z_company_neg_per_1000,0.05064904538267567,0.029984688972018784,1.6891636071309768,0.09118808109182905,-0.00811986509011648,0.10941795585546782
ar20d,z_company_unc_per_1000,-0.127902227099841,0.03699203360942047,-3.4575613887653134,0.0005450880374209207,-0.20040528068920035,-0.05539917351048165
ar20d,z_external_neg_per_1000,0.04939831035805112,0.009353541368990904,5.281241447417728,1.2831146162637247e-07,0.031065706146923475,0.06773091456917876
ar20d,z_external_unc_per_1000,-0.06667168788196513,0.009283754839175762,-7.18154335577914,6.89288178113455e-13,-0.08486751300804907,-0.0484758627558812
ar20d,z_company_sent_ratio_mean,-0.05819807194953795,0.0025645139138450435,-22.693607406590377,5.180932204344315e-114,-0.0632244268585261,-0.053171717040549814
