target,term,Coef.,Std.Err.,t,P>|t|,CI_low,CI_high
ar3d,const,0.22013259444716926,0.013410710560041924,16.414685371188945,1.50157171864544e-60,0.19384808474239612,0.2464171041519424
ar3d,z_neg_per_1000,-3.7044652389447945,0.3910681296816095,-9.472685084209772,2.7274092754033146e-21,-4.470944688622188,-2.9379857892674006
ar3d,z_unc_per_1000,-2.5320318430861253,0.05626080341675367,-45.0052556898276,0.0,-2.6423009915242504,-2.421762694648
ar3d,z_company_neg_per_1000,4.326541194660616,0.3123188371377206,13.85296267849761,1.2207144678455368e-43,3.714407522177253,4.9386748671439795
ar3d,z_company_unc_per_1000,4.742712751822519,0.10652601595000734,44.521638301466886,0.0,4.533925597143965,4.9514999065010725
ar3d,z_external_neg_per_1000,0.8947981339387889,0.07440966735331278,12.025294101774422,2.6165475716008215e-33,0.74895786582469,1.0406384020528878
ar3d,z_external_unc_per_1000,-0.17937503266685945,0.06743616867547819,-2.6599232457891038,0.007815846049931323,-0.31154749452616487,-0.04720257080755402
ar3d,z_company_sent_ratio_mean,-1.710218744396531,0.025004072923263024,-68.39760664773122,0.0,-1.7592258267929397,-1.6612116620001225
ar3d,z_finbert_neg_mean,235658.13615122656,11994.012829361744,19.64798099717949,6.0158617623714776e-86,212150.30297556618,259165.96932688693
ar3d,z_finbert_neu_mean,1750173.7443062165,89076.42775745929,19.648001029763527,6.0134882850850976e-86,1575587.1540301123,1924760.3345823206
ar3d,z_finbert_pos_mean,1810105.1380158383,92126.74516768259,19.647987505921467,6.015090498729164e-86,1629540.035474281,1990670.2405573956
ar3d,is_10k,0.03036686132396854,0.001360090925541796,22.3270817808536,2.0167393405584952e-110,0.027701132094206875,0.03303259055373021
ar3d,yr_2022,-0.9071300044186801,0.007670723434222904,-118.25872907521642,0.0,-0.9221643460851243,-0.8920956627522358
ar3d,yr_2023,-0.9410407950675549,0.016284555779728777,-57.78731749250259,0.0,-0.9729579379000569,-0.9091236522350529
ar3d,yr_2024,0.8680356110558485,0.04247038273875381,20.43861051112625,7.586853957015594e-93,0.7847951904782594,0.9512760316334375
ar3d,yr_2025,-0.024778725600120288,0.08283493500095988,-0.2991337604095803,0.7648379878517033,-0.187132214863718,0.13757476366347743
ar5d,const,0.9340257071852818,0.007130997659334294,130.98107050458304,0.0,0.9200492085991472,0.9480022057714164
ar5d,z_neg_per_1000,-0.399522428565776,0.3007474564497374,-1.3284316126296034,0.18403556180142067,-0.9889766116492896,0.18993175451773758
ar5d,z_unc_per_1000,-0.23862425416855593,0.027845395131475822,-8.56961278666936,1.0383358147172669e-17,-0.2932002257615355,-0.18404828257557634
ar5d,z_company_neg_per_1000,2.2837863238904457,0.24018332739834494,9.50851313714535,1.9340705827700524e-21,1.8130356525026972,2.754536995278194
ar5d,z_company_unc_per_1000,3.0762373223483195,0.06796957164449179,45.259036476473305,0.0,2.9430194098805007,3.2094552348161383
ar5d,z_external_neg_per_1000,0.3547382826953204,0.05723916921636877,6.197474344087358,5.737638743859435e-10,0.24255157252624382,0.4669249928643969
ar5d,z_external_unc_per_1000,-0.5858111672618176,0.05169632074982044,-11.33177678343487,9.133294816278194e-30,-0.6871340940646964,-0.48448824045893885
ar5d,z_company_sent_ratio_mean,-2.1578863179912506,0.018025805789000513,-119.71094902775495,0.0,-2.193216248130005,-2.1225563878524962
ar5d,z_finbert_neg_mean,64921.587877696875,9025.9179271199,7.19279616786997,6.347767441375316e-13,47231.11381312745,82612.0619422663
ar5d,z_finbert_neu_mean,482157.9224999675,67033.15379409994,7.192827656311251,6.346303095687717e-13,350775.35529339715,613540.4897065379
ar5d,z_finbert_pos_mean,498668.1757903949,69328.62667345181,7.192817739477178,6.34676423463391e-13,362786.5644128064,634549.7871679834
ar5d,is_10k,0.005294639340866575,0.0008259969819893405,6.409998409576395,1.455211545069141e-10,0.0036757150048286878,0.006913563676904462
ar5d,yr_2022,-1.3481890587777805,0.00569883192036817,-236.5728762694727,0.0,-1.3593585640956494,-1.3370195534599116
ar5d,yr_2023,-1.4392181747484045,0.01240078625458871,-116.05862283255186,0.0,-1.4635232691873779,-1.4149130803094312
ar5d,yr_2024,-0.8540066391725603,0.02862548975042752,-29.83378263981687,1.4251067113212568e-195,-0.9101115681232187,-0.7979017102219018
ar5d,yr_2025,-0.967775068712413,0.06323281480301274,-15.304949996727068,7.085642848626222e-53,-1.091709108367409,-0.8438410290574169
ar10d,const,0.45847695041148967,0.035218583119776777,13.01804075570646,9.661823650367809e-39,0.3894497959101969,0.5275041049127824
ar10d,z_neg_per_1000,-11.162715945768099,0.40386655868802657,-27.639614386570006,3.720312874454107e-168,-11.954279855356763,-10.371152036179435
ar10d,z_unc_per_1000,-3.9031676984536516,0.1552061736356648,-25.14827604484377,1.4759151327827046e-139,-4.207366208957825,-3.5989691879494785
ar10d,z_company_neg_per_1000,10.626561457964721,0.3225778185735403,32.9426291769101,5.394421348043874e-238,9.994320551349086,11.258802364580356
ar10d,z_company_unc_per_1000,7.604232481769236,0.22716926680539962,33.47386109355744,1.1574425007690347e-245,7.158988900436282,8.049476063102189
ar10d,z_external_neg_per_1000,2.6947959310562997,0.07663250519440687,35.165181201109725,6.813602117270353e-271,2.5445989808301834,2.844992881282416
ar10d,z_external_unc_per_1000,1.6454065643271378,0.07192107425959476,22.877947545501648,7.704175757841325e-116,1.5044438490489014,1.7863692796053743
ar10d,z_company_sent_ratio_mean,-2.833138111510252,0.0389042297775301,-72.82339549481549,0.0,-2.909389000720482,-2.7568872223000223
