ticker,company_title,cik,form,filing_date,accession,neg_cnt,unc_cnt,n_tokens,neg_per_1000,unc_per_1000,n_paras,company_tokens,company_neg_cnt,company_unc_cnt,company_neg_per_1000,company_unc_per_1000,external_tokens,external_neg_cnt,external_unc_cnt,external_neg_per_1000,external_unc_per_1000,company_sent_ratio_mean,finbert_neg_mean,finbert_neu_mean,finbert_pos_mean
MSFT,MICROSOFT CORP,0000789019,10-Q,2023-01-24,000156459023000733,471,319,9406,50.07442058260685,33.91452264512014,81,7464,375,245,50.241157556270096,32.82422293676313,1874,95,74,50.69370330843116,39.48772678762006,0.6828099064411464,0.049030477882443385,0.5998750462622187,0.3510944737052476
MSFT,MICROSOFT CORP,0000789019,10-Q,2022-10-25,000156459022035087,466,315,9285,50.1884760366182,33.92568659127625,77,7480,370,247,49.46524064171123,33.02139037433155,1687,94,68,55.720213396561945,40.30823947836396,0.7200909013743237,0.05061501615329996,0.6079788418704426,0.341406145000032
MSFT,MICROSOFT CORP,0000789019,10-K,2022-07-28,000156459022026876,448,312,9160,48.90829694323144,34.06113537117904,77,7525,363,251,48.23920265780731,33.35548172757475,1603,85,60,53.025577043044294,37.42981908920773,0.7049992936356573,0.050529329057831265,0.5965209458773206,0.3529497298666022
MSFT,MICROSOFT CORP,0000789019,10-Q,2022-04-26,000156459022015675,451,323,9160,49.23580786026201,35.262008733624455,77,7391,358,252,48.437288594236236,34.095521580300364,1665,92,70,55.25525525525526,42.04204204204204,0.7185556867375049,0.049721939198963054,0.615315940134324,0.33496212777863077
MSFT,MICROSOFT CORP,0000789019,10-Q,2022-01-25,000156459022002324,440,320,9050,48.61878453038674,35.35911602209945,77,7277,348,250,47.82190463102927,34.35481654527965,1694,91,70,53.71900826446281,41.32231404958678,0.7071346738479797,0.04962951565379059,0.6161638204637286,0.3342066720950526
MSFT,MICROSOFT CORP,0000789019,10-Q,2021-10-26,000156459021051992,440,318,9007,48.850893749306096,35.30587320972577,78,7292,347,250,47.58639605046626,34.28414701042238,1622,93,67,57.33662145499383,41.30702836004932,0.713448125948126,0.04925423960846204,0.612658685264297,0.3380870775152475
MSFT,MICROSOFT CORP,0000789019,10-K,2021-07-29,000156459021039151,435,320,8953,48.58706578800402,35.7422093153133,79,7422,354,255,47.696038803556995,34.357316087308,1484,81,65,54.5822102425876,43.80053908355795,0.7155013411342526,0.04894032036956353,0.6052515469491482,0.3458081365952009
MSFT,MICROSOFT CORP,0000789019,10-Q,2021-04-27,000156459021020891,435,320,8913,48.805116122517674,35.90261415909346,77,7342,356,252,48.48815036774721,34.323072732225555,1489,79,67,53.05574210879785,44.99664204163869,0.7350540152488204,0.04914470775318997,0.6296469548281718,0.32120834511112084
MSFT,MICROSOFT CORP,0000789019,10-Q,2021-01-26,000156459021002316,422,309,8540,49.414519906323186,36.18266978922717,76,7033,345,246,49.0544575572302,34.97796104080762,1475,77,62,52.20338983050848,42.03389830508475,0.736062694615326,0.04934735778768204,0.6308943739062861,0.319758270671101
MSFT,MICROSOFT CORP,0000789019,10-Q,2020-10-27,000156459020047996,413,299,8354,49.4373952597558,35.791237730428534,70,6857,336,237,49.00102085460114,34.56322006708473,1410,76,60,53.90070921985816,42.5531914893617,0.7511698618841476,0.05086726970704539,0.6575705533181982,0.2915621814184955
MSFT,MICROSOFT CORP,0000789019,10-K,2020-07-30,000156459020034944,412,299,8323,49.50138171332452,35.9245464375826,43,6903,337,239,48.819353904099664,34.62262784296683,1368,74,59,54.09356725146199,43.12865497076023,0.7206307747791498,0.05654334547647903,0.5918163571636691,0.35164030147499814
