feature,target,term,Coef.,Std.Err.,pval,sign,sig
external_neg_per_1000,ar20d,_z_feat,0.0052722058640852,0.0090766584357488,0.5613394136973452,+,
external_neg_per_1000,ar20d,is_10k,-0.0224420266992482,0.0218197679023216,0.3037061709352575,-,
external_unc_per_1000,ar20d,_z_feat,-0.0103246330582949,0.0085036859929444,0.2246957157746366,-,
external_unc_per_1000,ar20d,is_10k,-0.0147647293618283,0.0152433808851551,0.332745109973396,-,
neg_per_1000,r5d,_z_feat,0.0012483691103768,0.0092658140826561,0.8928265493189212,+,
neg_per_1000,r5d,is_10k,-0.0158643266549467,0.0185693966282855,0.3929241371003321,-,
