target,term,Coef.,Std.Err.,t,P>|t|,CI_low,CI_high
ar10d,z_external_unc_per_1000,-0.2941690945653963,0.1356778803199519,-2.168143354478229,0.0301477810987387,-0.5600928534912379,-0.0282453356395547
ar10d,z_unc_per_1000,2.9108249765636565,1.4670307806813567,1.9841608062318468,0.0472379162785684,0.0354974822165181,5.786152470910794
ar20d,z_external_unc_per_1000,-0.4347252795271301,0.0616596066494806,-7.0504063056781066,1.7839610378724665e-12,-0.5555758878610186,-0.3138746711932416
ar20d,z_unc_per_1000,3.2574206313803207,0.4622465561803574,7.046933260676049,1.8290398846025305e-12,2.351434029289149,4.163407233471492
ar20d,z_company_unc_per_1000,-2.8157966904054668,0.4223256729080874,-6.667358560080436,2.6044825468478342e-11,-3.643539799051961,-1.988053581758972
ar20d,z_company_sent_ratio_mean,-0.2538234330126546,0.0780788585560671,-3.2508599345159244,0.0011505652602332,-0.4068551837365433,-0.1007916822887659
ar20d,yr_2024,0.4437023663703796,0.1675555547381251,2.648091058895947,0.0080947718284805,0.1152995136740247,0.7721052190667343
ar20d,z_external_neg_per_1000,0.2709255488663278,0.105437163603588,2.569545116795119,0.010183213084176,0.0642725055712377,0.4775785921614178
ar20d,is_10k,0.1796733057792126,0.0845544232120168,2.124942716819071,0.0335913930093168,0.013949681550102,0.3453969300083231
ar3d,z_unc_per_1000,2.07745193961773,0.9300457802406756,2.233709333190169,0.0255022044990207,0.2545957063725519,3.900308172862908
ar5d,z_unc_per_1000,2.9148997626348034,0.6328339713481425,4.606105068008782,4.10281146751603e-06,1.6745679705989918,4.155231554670615
ar5d,z_company_sent_ratio_mean,-0.4593125648238143,0.1096839169731419,-4.18760176969505,2.8191761863876187e-05,-0.6742890917744542,-0.2443360378731744
ar5d,z_company_unc_per_1000,-2.1024847601955265,0.5612838009851183,-3.745849704740136,0.0001797842083083,-3.2025807952321057,-1.0023887251589474
ar5d,z_external_unc_per_1000,-0.2307425420699588,0.0771892965909251,-2.989307485114282,0.0027961058862336,-0.3820307833801525,-0.0794543007597651
ar5d,z_company_neg_per_1000,2.8927437134949416,0.9687039985671052,2.9861998275777246,0.0028246799772639,0.9941187646234756,4.791368662366407
ar5d,z_neg_per_1000,-3.3086938360874187,1.1199811914826494,-2.954240536581972,0.0031343959797386,-5.503816634755669,-1.113571037419168
ar5d,z_external_neg_per_1000,0.4852927042193263,0.1774061503537554,2.735489740641076,0.0062287527934153,0.1375830388900678,0.8330023695485849
ar5d,is_10k,-0.2384459710835946,0.1062491874600023,-2.2442145373898312,0.0248186011314054,-0.446690551891844,-0.0302013902753452
ar5d,z_finbert_neg_mean,472487.2296202458,215154.0384193669,2.1960416503979285,0.0280889623636394,50793.0631899396,894181.396050552
ar5d,z_finbert_pos_mean,835924.6199322972,380650.6522133538,2.196041475488563,0.0280889748817607,89863.05090244196,1581986.1889621522
ar5d,z_finbert_neu_mean,912990.2258910234,415743.62581867335,2.1960414283999734,0.0280889782518537,98147.69248432713,1727832.7592977197
r20d,z_external_unc_per_1000,-0.4315637366096904,0.0581118946589436,-7.426426881149209,1.1157052599010253e-13,-0.5454609572146055,-0.3176665160047752
r20d,z_unc_per_1000,3.423153786607384,0.5458282751413461,6.27148490195187,3.57620981871471e-10,2.353350025586725,4.492957547628041
r20d,z_company_unc_per_1000,-2.8801772793404465,0.5044770234478376,-5.7092338113952845,1.134858982368908e-08,-3.868934076326177,-1.8914204823547165
r20d,z_external_neg_per_1000,0.3737736780843039,0.0997418364183154,3.7474112318997617,0.0001786690352426,0.1782832709525201,0.5692640852160877
r20d,z_company_sent_ratio_mean,-0.2630659182722703,0.0742312561050117,-3.543869955536284,0.0003942996814111,-0.4085565067652623,-0.1175753297792783
r20d,z_company_neg_per_1000,1.9120995139675832,0.5986327929437655,3.1941108748233957,0.0014026223591238,0.7388007998331794,3.0853982281019867
r20d,z_neg_per_1000,-2.1073693311866184,0.6948810868549814,-3.032704977947424,0.0024237242758472,-3.469311234960431,-0.7454274274128057
r5d,z_unc_per_1000,3.2176483251403187,0.7902840596027846,4.071508574723859,4.6709642547354567e-05,1.6687200307627554,4.766576619517882
r5d,z_company_sent_ratio_mean,-0.5353669956450914,0.1365032771234826,-3.9220083717169048,8.781394031739862e-05,-0.8029085025788075,-0.2678254887113752
r5d,z_company_unc_per_1000,-2.334769626695132,0.7183553246589209,-3.2501598394968303,0.0011534016091923,-3.7427201911291945,-0.926819062261069
r5d,z_company_neg_per_1000,2.9411352089508846,1.098104503593493,2.678374598525153,0.0073980428521765,0.7888899306464037,5.093380487255366
r5d,z_neg_per_1000,-3.3421433789491264,1.2641864102950946,-2.6437108892580024,0.0082002664736441,-5.819903212872488,-0.8643835450257651
r5d,z_external_unc_per_1000,-0.2582931271292918,0.1050093266600149,-2.4597160589893,0.0139046974985084,-0.4641076254237228,-0.0524786288348609
r5d,z_external_neg_per_1000,0.4800581072584336,0.1952678904471062,2.4584590234433388,0.0139534699043356,0.0973400746449925,0.8627761398718747
vol20d,z_external_neg_per_1000,-0.0419548239873518,0.015549841657153,-2.6980868945409635,0.00697392343267,-0.0724319536006724,-0.0114776943740311
vol20d,z_neg_per_1000,0.2637800084211315,0.133440349910167,1.976763464714459,0.048068373264976,0.0022417285127814,0.5253182883294815
