ticker,company_title,cik,form,filing_date,accession,neg_cnt,unc_cnt,n_tokens,neg_per_1000,unc_per_1000,n_paras,company_tokens,company_neg_cnt,company_unc_cnt,company_neg_per_1000,company_unc_per_1000,external_tokens,external_neg_cnt,external_unc_cnt,external_neg_per_1000,external_unc_per_1000,company_sent_ratio_mean,finbert_neg_mean,finbert_neu_mean,finbert_pos_mean,event_date,r1d,r3d,r5d,r10d,r20d,ar1d,ar3d,ar5d,ar10d,ar20d,vol5d,vol20d
TSLA,"Tesla, Inc.",0001318605,10-Q,2025-07-24,000162828025035806,16,22,531,30.131826741996232,41.431261770244824,1,392,9,14,22.959183673469386,35.714285714285715,132,7,5,53.03030303030303,37.878787878787875,0.7222222222222222,0.021900435909628868,0.7243751883506775,0.25372445583343506,2025-07-25,0.034637201499348805,0.05076916031995543,0.009681126944568817,0.054094809661082544,,0.03042177943468226,0.049445949774179404,0.013376300229784074,0.0575210928481702,,0.029464241043228777,
TSLA,"Tesla, Inc.",0001318605,10-Q,2025-04-23,000162828025018911,23,26,714,32.212885154061624,36.41456582633053,1,668,20,24,29.940119760479043,35.92814371257485,41,3,0,73.17073170731707,0.0,0.8076923076923077,0.0356389544904232,0.10052245855331421,0.8638386130332947,2025-04-24,0.03437870754426389,0.13115559183602724,0.118057731310948,0.09678108647340952,0.2885789774417175,0.013548213263178337,0.10274453235690417,0.08297024359749494,0.04984429313758794,0.2036834342424409,0.046866454686693176,0.03407724928422258
TSLA,"Tesla, Inc.",0001318605,10-K,2025-01-30,000162828025003063,488,404,11983,40.72435950930485,33.71442877409664,1,11000,461,373,41.90909090909091,33.90909090909091,971,27,30,27.80638516992791,30.89598352214212,0.8539603960396039,0.05297546833753586,0.12822206318378448,0.818802535533905,2025-01-31,0.010734640646320742,-0.02036691032672467,-0.06705323304794056,-0.11740211499175401,-0.3120599143724489,0.016070792804768072,-0.014964236678955137,-0.06916656171359399,-0.12512371066840844,-0.29394761622275534,0.03143098753894001,0.03648328973105964
TSLA,"Tesla, Inc.",0001318605,10-Q,2024-10-24,000162828024043486,1,5,46,21.73913043478261,108.69565217391305,1,41,1,3,24.390243902439025,73.17073170731707,0,0,0,0.0,0.0,1.0,0.022823993116617203,0.32381126284599304,0.6533646583557129,2024-10-25,0.032891334056112616,-0.0036923963976317753,-0.04166536277248359,0.13090294991936466,0.2653601512690506,0.03323673579916077,-0.008050765801277025,-0.023196015423219637,0.10303377725984064,0.24075343495316806,0.02488306518675077,0.04951091118317115
TSLA,"Tesla, Inc.",0001318605,10-Q,2024-07-24,000162828024032662,1,5,46,21.73913043478261,108.69565217391305,1,41,1,3,24.390243902439025,73.17073170731707,0,0,0,0.0,0.0,1.0,0.022823993116617203,0.32381126284599304,0.6533646583557129,2024-07-25,0.01953112906763447,0.07193620382865865,0.07180694610639818,-0.11898757426856288,0.033149684797540116,0.02475493333881923,0.06543497636502929,0.05426132988814449,-0.07639178036161468,-0.0020493481669046493,0.03803484163973375,0.03787031432659053
TSLA,"Tesla, Inc.",0001318605,10-Q,2024-04-24,000162828024017503,1,5,46,21.73913043478261,108.69565217391305,1,41,1,3,24.390243902439025,73.17073170731707,0,0,0,0.0,0.0,1.0,0.022823993116617203,0.32381126284599304,0.6533646583557129,2024-04-25,0.04845814470471284,0.17971736086294465,0.10450281163203337,0.07478618686453753,0.10516926605910992,0.05226422805078825,0.17055896245072366,0.11456477134854234,0.051745758139185215,0.05798293145922891,0.07772206526448867,0.04376380374079131
TSLA,"Tesla, Inc.",0001318605,10-K,2024-01-29,000162828024002390,488,399,11911,40.97053144152464,33.498446813869535,1,10887,461,368,42.34408009552678,33.801781941765405,1011,27,30,26.706231454005934,29.673590504451038,0.8507462686567164,0.05325079336762428,0.12477036565542221,0.8219788074493408,2024-01-30,0.0034508226289791306,-0.010900827297927913,-0.05307837580128658,-0.014773591187119996,0.045059602721278666,0.004224618610298465,-0.006678422421602284,-0.055680483188994746,-0.03434594407239856,0.013680582667589813,0.018959252975176442,0.025254283436827802
TSLA,"Tesla, Inc.",0001318605,10-Q,2023-10-23,000162828023034847,1,5,46,21.73913043478261,108.69565217391305,1,41,1,3,24.390243902439025,73.17073170731707,0,0,0,0.0,0.0,1.0,0.02270585112273693,0.32445183396339417,0.6528424024581909,2023-10-24,0.020719371046622376,-0.03025315626225631,-0.07193409530088117,0.03334029603077917,0.10517190706913226,0.013208239392536819,-0.011261169435085483,-0.060284023074291385,-0.0022413032198291966,0.027851501577719998,0.028481186231902704,0.03198238721695987
TSLA,"Tesla, Inc.",0001318605,10-Q,2023-07-24,000095017023033872,1,4,43,23.25581395348837,93.02325581395348,1,41,1,3,24.390243902439025,73.17073170731707,0,0,0,0.0,0.0,1.0,0.022475210949778557,0.4069421589374542,0.5705826282501221,2023-07-25,-0.014148526638195701,-0.0508903778652703,-0.006076571522686988,-0.06769024350222595,-0.1513053015535018,-0.016874822336615226,-0.04711830964978898,-0.01394935578013385,-0.05997661590991987,-0.11804112797953563,0.027444228877858006,0.026685861741028986
TSLA,"Tesla, Inc.",0001318605,10-Q,2023-04-24,000095017023013890,1,4,43,23.25581395348837,93.02325581395348,1,41,1,3,24.390243902439025,73.17073170731707,0,0,0,0.0,0.0,1.0,0.022475210949778557,0.4069421589374542,0.5705826282501221,2023-04-25,-0.011633104865311444,-0.014625039570102812,-0.004439252680711429,0.05528709603234009,0.15007325633079974,0.004368093221276318,-0.014091737285150292,-0.011394558822421488,0.05502055150620609,0.1352549563124787,0.03401987270366615,0.025824674506457514
